Name,Category,Stock,Color,Size,Period,Notes
Leather Jacket,Jackets and Coats,1,Grey,M,,Blood stains exterior
Tunic Shirt,Tops and Shirts,1,Cream,m,Tudor medieval,
Tailored Coat,Jackets and Coats,1,Brown,m,victorian,White marks right sleeve
German Army Jacket,Jackets and Coats,1,Dark Green,ML,1900s,
Military Jacket,Jackets and Coats,2,Grey,ML,20th century,1 with marks on front
Shirt,Tops and Shirts,1,Camel Brown,m,,Blood damage front and collar
Ladies Leather Jacket,Jackets and Coats,1,Black,Uk 12,,
Ladies Blazer,Jackets and Coats,1,black,Uk 10,,
Shirt,Tops and Shirts,1,navy,Slim fit 37cm,,
Trousers,Trousers and Shorts,1,black,Waist 34” leg 29” (Mens),,
Waistcoat,Jackets and Coats,1,Navy blue,Uk 12,,Green paint front right
Waistcoat,Jackets and Coats,1,brown,SM,,
Trench Coat,Jackets and Coats,1,beige,L (mens),,
Waistcoat,Jackets and Coats,1,black,UK 14,,
Waistcoat,Jackets and Coats,1,Grey with large buttons,UK 6-8,,
V Neck Vest Top (maybe over shirt),Vest,1,brown,Womens presumed M,,
Waistcoat,Jackets and Coats,1,cream,SM,,Small mark on back
Christmas Tank Top,Tops and Shirts,1,Christmas colours: red green cream,M,,
Jacket,Jackets and Coats,1,black,Uk 12,,
Jacket,Jackets and Coats,1,Black with red striped sleeved,38,1930s ,
Leather Jacket,Jackets and Coats,1,black,American 42,,Worn and rip on right sleeve
Jacket,Jackets and Coats,1,Black with velvet collar,30 inch,,
Waistcoat,Jackets and Coats,3,Black with purple swirls,M,,
Suit Jacket / Blazer,Jackets and Coats,1,red,ML,,
Tweed Jacket,Jackets and Coats,1,tweed,ML,,
Jacket,Jackets and Coats,1,Black with gold buttons,Uk 12,,
Cloth/Denim Waistcoat,Jackets and Coats,1,grey,S,,
Waistcoat Jacket,Jackets and Coats,1,burgundy,L 42,,
Tunic,Tops and Shirts,1,brown,S 12,Shakespeare,
Suit Jacket,Jackets and Coats,1,grey,Uk 16,,
Camo Zip Jacket,Jackets and Coats,1,Camo (invisible),M,,
Suit Jacket,Jackets and Coats,1,grey,ML,,Paint stains
Suit Jacket,Jackets and Coats,1,Dark grey,UK 10,,
Suit Jacket,Jackets and Coats,1,Pinstripe black,36,,
Suit Jacket,Jackets and Coats,1,Blue pinstripe,38,,
Jacket,Jackets and Coats,1,Blue with black collar,ML,,
Corduroy Trousers,Trousers and Shorts,1,Olive green,36” waist,,
Denim Jacket,Jackets and Coats,1,blue,Uk16,,
Denim Jacket,Jackets and Coats,1,Pale blue,Uk 10,,
Zip Hoodie,Jackets and Coats,1,grey,XL,,
Jacket,Jackets and Coats,1,Multi colour stripes,ML,,
Jacket,Jackets and Coats,1,cream,XL,,Significant black paint marks
Coat,Jackets and Coats,1,black,UK 10,,
Jacket,Jackets and Coats,1,Burnt orange,Uk 12,,
Suit Jacket,Jackets and Coats,1,grey,ML,,
Set,All-in-one,1,"White shirt
Brown waistcoat
Grey jacket","XL shirt
L waistcoat
ML jacket",,One set
Jacket,Jackets and Coats,1,grey,36” regular,,Yellow paint marks right sleeve
Jacket,Jackets and Coats,1,Dark grey pinstripe,38” regular,,
Jacket,Jackets and Coats,1,Dark grey pinstripe,48” regular,,
Jacket,Jackets and Coats,1,Black with gold buttons,ML,,
Jacket,Jackets and Coats,1,grey,40” short,,Loose buttons
Jacket,Jackets and Coats,1,navy,44,,
Peplum Jacket,Jackets and Coats,1,black,Uk 8,,
Jacket,Jackets and Coats,1,Dark grey,38 regular,,
Jacket,Jackets and Coats,1,navy,M,,
Jacket,Jackets and Coats,1,Grey tweed,ML,,
Fur-Lined Denim Jacket,Jackets and Coats,1,black,Uk 10,,
Blazer,Jackets and Coats,1,Navy pinstripe,Uk 16,,
Suit Jacket,Jackets and Coats,1,black,ML,,
Long-Sleeved Shirt,Tops and Shirts,1,white,42,,yellowing
Short-Sleeved Shirt,Tops and Shirts,1,white,S,,Marks on collar
Blouse,Tops and Shirts,1,white,Uk 22,,"Red stain right sleeve
Stains on back"
Shirt,Tops and Shirts,1,white,42,,Marks on back
Lab Coat,Jackets and Coats,2,white,One size,,Marks on front and back
Trousers,Trousers and Shorts,1,black,unsure,,
Pussycat Bow Shirt,Tops and Shirts,1,salmon,Uk 14,,Marks on front+back
Checked Shirt,Tops and Shirts,1,Black and white check,17.5,,
Shirt,Tops and Shirts,1,blue,XL,,
(kind of) Polo Shirt,Tops and Shirts,1,"Blue, yellow, navy stripes",18,,
Shirt,Tops and Shirts,1,navy,15.5” slim fit,,
Shirt,Tops and Shirts,1,navy,14.5” slim fit,,
Crew Neck T-Shirt,Tops and Shirts,1,black,M,,
Corduroy Striped Shirt,Tops and Shirts,1,Grey and green,M,,
Shirt,Tops and Shirts,1,navy,15.5”,,
Short-Sleeved Shirt,Tops and Shirts,1,Patterned with purple and pink,L,,Marks to right sleeve
Short-Sleeved Shirt,Tops and Shirts,1,green,M,,
Short-Sleeved Shirt,Tops and Shirts,1,Light blue,large,,Stains on front
Short-Sleeved Shirt,Tops and Shirts,1,navy,M,,
Short-Sleeved Shirt,Tops and Shirts,1,England flag,M,,Rips on each sleeved
