Name,Stock,Color,Notes,Category,Period,Fragile,Alter,Image,Batteries,BatteryType,Secure
dolphin china ornament,1,Beige/cream,cracks on base and around the ornament,decoration,,TRUE,,,,,
fake flowers ,6,White,Short stems,garden,,,,,,,
female bodice,1,white,painted,decoration,,,TRUE,,,,
sunflower with vase,1,white flower and frosted vase,"sunflower can drop off, no damages to vase",garden,,TRUE,FALSE,,,,
rose and rose vase,1,both white, ,decoration,,TRUE,False ,,,,
over hanging pot of various flowers,1,"purple, pink, yellow, white, grey pot ",the pot has chips and cracks,garden,,,FALSE,,,,
welcome frog sign,1,green,paint eroding,decoration,,,FALSE,,,,
darts board,1,classic colours ,crack on left handside of the dart board,sports,,,FALSE,,,,
little pot of purple flowers,1,"purple, brown pot", ,garden ,,,FALSE,,,,
silver macbeth crown - small size,1,silver,,headware,,TRUE,FALSE,,,,
pot of various flowers,1,Various, ,garden,,,FALSE,,,,
wooden cruches,1,grey handles,scuffing on handles,handheld,,,FALSE,,,,
feather duster ,1,pink,feathers falling out,homeware,,,FALSE,,,,
walking stick,1,dark brown,scuffing  ,homeware,,,False ,,,,
fake cricket bats,2,red and black with painted logo on red one,scuffing  ,homeware,,,True  ,,,,
shuttle cock,1,green rim,,sports,,,FALSE,,,,
white baby on a stick,1,"painted white baby, black stick",,homeware,,,TRUE,,,,
bottles on sticks,1,both bottles are white on black sticks,,homeware,,,TRUE,,,,
rowing ore,1,wooden,scuffing ,sports,,,FALSE,,,,
lobster,1,red ,speckled black paint very small damage,animals,,,FALSE,,,,
music stand,1,black,slightly wonky,music,,,FALSE,,,,
books,11,various colours,"missing spines, damaged scuffed",decoration,,,FALSE,,,,
signs for panto,1,blue,general scuffing (boo; hiss; she's behind you),sign,,,TRUE,,,,
Spray painted rainbow,1,rainbow,homemade,decoration,,,FALSE,,,,
alien masks,5,silver and green,mouths cut off,masks,,,FALSE,,,,
white masks,3,white,,masks,,,TRUE,,,,
white masks (with numbers and letters),3,white,,masks,,,TRUE,,,,
long beaded necklaces ,3,"black, yellow, white",,jewellery,,,FALSE,,,,
large beaded bracletes,1,"yellow, black, pink",,jewellery,,,FALSE,,,,
medical headband,1,silver,,headware,,,FALSE,,,,
ring box,1,black,,jewellery,,,False ,,,,
small plastic belt,1,painted black,stretching,costume,,,FALSE,,,,
bronze/gold square ring,1,gold,,jewellery,,,FALSE,,,,
large gold necklace,1,gold,,jewellery,,,FALSE,,,,
pearl necklace,1,white,,jewellery,,,FALSE,,,,
dog tag,1,silver,yellow mark on tag,jewellery,,,FALSE,,,,
white and clear small bracelets,1,white and clear,,jewellery,,,FALSE,,,,
tooth necklace,1,"gold, silver, white",,jewellery,,,FALSE,,,,
clip on earrings,1,clear crystal style,,jewellery,,,FALSE,,,,
hairband ,5,"pink, orange",,headware,,,FALSE,,,,
gold halfmoon glasses,1,gold,,headware,,,FALSE,,,,
party poppers,7,various colours,,hand-held prop,,,FALSE,,,,
orange pencil case (with pens),1,"oprange, white spots","various stains, wear and tear",stationery,,,FALSE,,,,
tartan tie,1,red tartan,,costume,,,FALSE,,,,
thick black tie,1,black,,costume,,,FALSE,,,,
large gold bow headband,1,gold,,headware,,,FALSE,,,,
suspenders,2,black,,costume,,,FALSE,,,,
liverpool flag,1,red,,misc,,,FALSE,,,,
paisley tie,1,"blue, gold, red",,costume,,,FALSE,,,,
extremely large silk style handkerchief,1,various colours,,misc,,,FALSE,,,,
small faux leather gloves,1,black,,costume,,,FALSE,,,,
gold leaf tiara,1,gold,,headware,,,FALSE,,,,
fabric belt,1,brown,,costume,,,FALSE,,,,
long gloves small,1,pink,small marks,costume,,,,,,,
pipe,1,red,small chew marks,misc,,,,,,,
mouse ear hair clips,1,"grey, pink",,headware,,,,,,,
fake candle,1,white,,homeware,,,,,Truees,,
clip on earrings,1,"black, blue",,headware,,,,,,,
plastic starfish,4,"orange, yellow",,animals,,,,,,,
pocket watch,1,silver,missing lid,costume,,,,,,,
safety goggles,1,black,,headware,,,,,,,
steampunk goggles,7,"silver x6, gold x1",,headware,,,,,,,
glasses,1,black,wobbly arms,headware,,,,,,,
sunglasses,1,blue,missing half of arm,headware,,,,,,,
sunglasses,1,gold,,headware,,,,,,,
sunglasses,1,white,,headware,,,,,,,
glasses,1,orange ,,headware,,,,,,,
sunglasses,1,brown,,headware,,,,,,,
sunglasses,1,navy blue,loose arms,headware,,,,,,,
glasses,1,black,,headware,,,,,,,
armless glasses,1,black,,headware,,,,,,,
gold ring with black jewel,1,"gold, black",,costume,,,,,,,
feather boa,1,pink,,costume,,,,,,,
tinsel,1,gold,,decoration,,,,,,,
scarf,1,orange,,costume,,,,,,,
glass ashtray,1,clear,broken detail,glassware,,TRUE,,,,,
paisley tie,1,"black, grey",,costume,,,,,,,
stripey tie,1,"red, white",,costume,,,,,,,
set of keys,1,silver,,misc,,,,,,,
nokia phone,1,black,scuffing on back,electrical,,,,,,,
card holder (native american emblem),1,silver,doesn't stay shut,misc,,,,,,,
suspenders,1,"blue, gold, red",marks on inside,costume,,,,,,,
glasses,1,gold,,headware,,,,,,,
small round glasses,1,gold,,headware,,,,,,,
hairclip,2,"black x1, brown x1",,headware,,,,,,,
vintage hairbrush,1,off gold,"various marks, scuffs",misc,,,,,,,
hadnkerchief (flower design),1,"white, blue flower",various stains,misc,,,,,,,
faux leather wallet,1,brown,,misc,,,,,,,
cigarette holder,1,silver,closes funny,homeware,,,,,,,
ancient egypt theme cigarette box,1,"silver, bronze",,homeware,,,,,,,
glasses (no lenses),1,gold,,headware,,,,,,,
small glass bottles with cork,2,clear,,glassware,,TRUE,,,,,
small gold ring,3,gold,,costume,,,,,,,
flower hair clip,1,orange,,headware,,,,,,,
gold balloons (nearly full pack),1,gold,,party,,,,,,,
glowsticks (full pack),1,various,,party,,,,,,,
confetti (full pack),1,various ,,party,,,,,,,
vintage hairbrush ,1,white with flowers,"various marks, scuffs",misc,,,,,,,
packets of crystals,5,clear crystal style,,misc,,,,,,,
flowerpetals packet,5,purple,,decoration,,,,,,,
boxes of matches,5,yellow,,homeware,,,,,,,TRUE
reserved signs,2,white,,misc,,,,,,,
hand towel,1,white,,homeware,,,,,,,
fish,2,grey,,animals,,,,,,,
bow tie satin-y,1,blue,,costume,,,,,,,
religious (christian cross) necklace,1,brown,wooden,costume,,,,,,,
ornamental statue,1,brown,,decoration,,,,,,,
faux leather gloves,1,brown,,costume,,,,,,,
suspenders,1,blue,,costume,,,,,,,
headband with large bow,1,silver,,headware,,,,,,,
suspenders,1,black/grey,,costume,,,,,,,
faux letahter gloves,1,black/brown,,costume,,,,,,,
visor,1,blue (plastic),crumpled,headware,,,,,,,
Envelopes,8,brown,,stationery,,,,,,,
hawaiin flower necklace,1,various ,,costume,,,,,,,
Balloons,10,silver,,party,,,,,,,
trophy shield (for atheltics union),1,brown/silver,scuffed/scratched,decoration,,,,,,,
hairbrush,1,gold with pink flower,scuffed,misc,,,,,,,
hairband (velvet),1,marroon,,misc,,,,,,,
flower headband,1,gold,,misc,,,,,,,
Darts,6,3x green 3x red,1 slightly bent,sports,,,,,,,
ash tray,1,clear glass,,glassware,,TRUE,,,,,
ash tray,1,clear glass,ash residue,glassware,,TRUE,,,,,
ash tray,1,gold (metal),ash marks,glassware,,TRUE,,,,,
patterened bowl,1,gold/red (green and pink detail),,crockery,,TRUE,,,,,
the great escape ash tray,1,white ,,glassware,,TRUE,,,,,
black gloves,1,black,dirty marks,costume,,,,,,,
fossil,1,grey,,misc,,,,,,,
love hearts trinket box,1,silver (I love you detail),,homeware,,,,,,,
Male underwear,4,white,,costume,,,,,,,
hairband,1,silver (pearl and crystal),,misc,,,,,,,
notebook,1,yellow,,stationery,,,,,,,
Bells,3,gold,,decoration,,,,,,,
bell,1,white (china) ,doesn’t work,decoration,,,,,,,
bell (table) ,1,silver,,decoration,,,,,,,
kazzoo,1,gold,,misc,,,,,,,
rubber darts (can be loaded into crossbow) ,1,black,,weaponry,,,,,,,TRUE
body bag,1,black (city morgue written on it) ,,storage,,,,,,,
briefcase (with poker chips and other various casino items),1,silver (various),,storage,,,,,,,
bow clip,1,white,,headware,,,,,,,
hair ties,6,"orange, pink and black",,headware,,,,,,,
disposable camera,1,black,,misc,1990s,,,,,,
matchbox (with matches),1,red,,misc,,,,,,,TRUE
abstract statue,1,green,,decoration,,,,,,,
large trophy,1,silver (tarnished) ,,awards,,,,,,,
box of masquerade mask,1,various,,headware,,,,,,,
dinner plates,4,white,dirty marks,crockery,,TRUE,,,,,
large bowl,1,white,,crockery,,TRUE,,,,,
teapot,1,white (fruit pattern),chipped spout,crockery,,TRUE,,,,,
saucer,7,white,dirty,crockery,,TRUE,,,,,
saucer ,1,white (blue flowers),,crockery,,TRUE,,,,,
saucer,1,white (pink and blue pattern),,crockery,,TRUE,,,,,
bowls,2,white,dirty,crockery,,TRUE,,,,,
teapot,1,white,missing lid,crockery,,TRUE,,,,,
teacups,3,white (fruit pattern),,crockery,,TRUE,,,,,
bowl (fruit pattern),1,white (fruit pattern),,crockery,,TRUE,,,,,
gravy boat,1,white,,crockery,,TRUE,,,,,
teacups,3,white (black and flower pattern),,crockery,,TRUE,,,,,
sugar bowl,1,white,missing lid,crockery,,TRUE,,,,,
plate,1,white and red patterned,,crockery,,TRUE,,,,,
assorted cutlerty,1,silver,,crockery,,TRUE,,,,,
bottle opener,1,red,,crockery,,TRUE,,,,,
syringe ,1,clear plastic,,medical,,,,,,,
pint glasses,11,glass/plastic,dirty,crockery,,TRUE,,,,,
small glass,1,glass,dirty,crockery,,TRUE,,,,,
dinner plate,2,black ,dirty,crockery,,TRUE,,,,,
dinner plate,1,white with green pattern,dirty,crockery,,TRUE,,,,,
baking tray,1,white with wheat/leaves pattern,dirty,crockery,,,,,,,
bowl,2,glass,dirty,crockery,,TRUE,,,,,
saucepan,2,black,dirty,crockery,,,,,,,
large cooking pot,1,silver,dirty,crockery,,,,,,,
tupperware ,1,plastic,dirty,crockery,,,,,,,
wine glasses,2,glass,dirty,glassware,,TRUE,,,,,
whisky tumblers,4,glass,dirty,glassware,,TRUE,,,,,
Ladle,1,silver,dirty,crockery,,,,,,,
tin opener,2,silver/silver and black,dirty,crockery,,,,,,,
mini tongs,1,silver,dirty,crockery,,,,,,,
wooden spoon,1,brown,dirty,crockery,,,,,,,
dinner plate,1,white with flower pattern and green border,dirty,crockery,,TRUE,,,,,
statue (david),1,white ,scuffed and chipped ,decoration,,,,,,,
a4 frame ,1,black,,decoration,,,,,,,
fuel can,1,black,,misc,,,,,,,
sewing machine,1,white,non functional,electrical,,,,,,,
lamp,1,pink/red/flower patterend,,lighting,,,,,,,
scale ,1,black,,homeware,old fashioFalseed,,,,,,
sewing machine,1,brown/black,non functional,electrical,old fashioFalseed,,,,,,
iron,1,green,non functional,electrical,old fashioFalseed,,,,,,
iron,1,white,non functional?,electrical,moderFalse,,,,,,
iron,1,blue,,electrical,moderFalse,,,,,,
hotplates,2,pale blue,,electrical,,,,,,,
sheet,1,black,,bedding,,,,,,,
george foreman grill,1,black,,electrical,,,,,,,
typewriter,1,black,,electrical,old fashioFalseed,,,,,,
dart tips in case,1,metal,,sports,,,,,,,
liscene plate,1,white,,misc,,,,,,,
foot pedals,2,black,non functioning,electrical,,,,,,,
bucket,1,silver,,misc,,,,,,,
chopping board,1,white,scuffed,kitchen,,,,,,,
hanging baskets,2,wicker - brown,no string,garden,,,,,,,
small basket,1,wicker - brown,,misc,,,,,,,
newspaper holder basket,1,wicker - brown,,homeware,,,,,,,
champagene flutes,4,glass with silver trim,,crockery,,TRUE,,,,,
candle stick,2,silver,,homeware,,,,,,,
candlestick ,1,black,,homeware,,,,,,,
bourbon bottle,1,glass,no lid,glassware,,TRUE,,,,,
gin bottle,3,green glass,,glassware,,TRUE,,,,,
jagermaster bottle,1,green glass,no lid,glassware,,TRUE,,,,,
